Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
"Computing Or Tech",Man,"Professional Degree (Md, Jd, Etc.)",166360.00
"Computing Or Tech",Man,"Some College",116196.03
"Computing Or Tech",Man,Unknown,98555.32
"Computing Or Tech","Other or prefer not to answer","College Degree",112283.03
"Computing Or Tech","Other or prefer not to answer","High School",225769.00
"Computing Or Tech","Other or prefer not to answer","Master'S Degree",129337.01
"Computing Or Tech","Other or prefer not to answer",Phd,166850.00
"Computing Or Tech","Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",100000.00
"Computing Or Tech","Other or prefer not to answer","Some College",105797.86
"Computing Or Tech","Other or prefer not to answer",Unknown,102291.00
"Computing Or Tech",Woman,"College Degree",108565.82
"Computing Or Tech",Woman,"High School",94119.63
"Computing Or Tech",Woman,"Master'S Degree",115262.07
"Computing Or Tech",Woman,Phd,134747.53
"Computing Or Tech",Woman,"Professional Degree (Md, Jd, Etc.)",148201.02
"Computing Or Tech",Woman,"Some College",92396.93
"Computing Or Tech",Woman,Unknown,102041.79
Concrete,Woman,"College Degree",44000.00
Conservation,Man,"Master'S Degree",45000.00
Construction,Man,"College Degree",60416.67
Construction,Man,"High School",60000.00
Construction,Man,"Some College",55880.00
Construction,Woman,"College Degree",63536.86
Construction,Woman,"High School",51031.00
Construction,Woman,"Some College",74000.00
Consulting,Man,"College Degree",60000.00
Consulting,Man,"Master'S Degree",155000.00
Consulting,Man,"Some College",250000.00
Consulting,"Other or prefer not to answer","College Degree",50000.00
Consulting,"Other or prefer not to answer","Master'S Degree",92000.00
Consulting,Woman,"College Degree",69166.67
Consulting,Woman,"Master'S Degree",177500.00
"Consumer Food Products ",Woman,"Master'S Degree",145000.00
"Consumer Goods",Man,"College Degree",62910.00
"Consumer Goods",Man,"Master'S Degree",123500.00
"Consumer Goods",Man,"Professional Degree (Md, Jd, Etc.)",160000.00
"Consumer Goods",Woman,"College Degree",98672.75
"Consumer Goods",Woman,"Master'S Degree",123633.33
"Consumer Goods",Woman,Phd,115985.50
"Consumer Goods",Woman,"Some College",147000.00
"Contact Center",Woman,"College Degree",52425.00
"Content Review - Copyright/Dmca",Man,"Some College",51000.00
"Contract Research",Woman,"College Degree",62525.80
"Contract Research",Woman,Phd,105000.00
"Corporate Accounting In Death Care (Funeral & Cemetery)",Woman,"Master'S Degree",103000.00
"Corporate Learning And Development",Woman,"Master'S Degree",80000.00
"Corporate Service Management",Woman,"College Degree",66000.00
"Corporate Sustainability",Woman,"College Degree",86000.00
"Corporate Sustainability",Woman,"Master'S Degree",110000.00
"Corporate Training",Woman,"Master'S Degree",280000.00
"Corporate Travel Industry",Woman,"College Degree",91000.00
"Cosmetology ",Woman,"Some College",80000.00
"Costruction Admin",Woman,"Some College",26562.00
Counselling,Woman,"Master'S Degree",45650.00
"Cpg / Retail",Woman,"Master'S Degree",175000.00
"Cpg / Retail",Woman,"Some College",68000.00
"Cultural Heritage",Woman,"College Degree",56388.00
"Cultural Heritage",Woman,"Master'S Degree",33515.00
"Customer Service",Man,"College Degree",41600.00
"Customer Service","Other or prefer not to answer","College Degree",40000.00
"Customer Service","Other or prefer not to answer","Master'S Degree",207000.00
"Customer Service",Woman,"College Degree",44429.67
"Customer Service",Woman,Phd,64500.00
"Customer Service",Woman,"Some College",55.00
"Data Analytics",Man,"College Degree",55000.00
"Data Breach",Man,"Some College",56410.00
"Data Breach",Woman,"Some College",100000.00
"Data Entry",Woman,"Some College",31000.00
"Data/Institutional Research In Higher Education",Woman,"College Degree",57211.00
"Daycare For Children Under 5 Years Old",Woman,"College Degree",12500.00
Defense,Man,"College Degree",71000.00
Defense,Woman,"College Degree",121833.33
Defense,Woman,"High School",41250.00
Defense,Woman,"Master'S Degree",114600.00
Defense,Woman,Phd,86953.00
"Delivery And Installation For Commercial Machinery",Man,"Some College",30000.00
"Diagnostic Medical Devices",Man,"Master'S Degree",68000.00
Digital,Man,"College Degree",100000.00
Digital,Woman,"College Degree",60091.67
"Direct Support  Professional  In A Group  Home",Man,"College Degree",32280.00
"Disability Services ",Woman,"High School",26544.00
Distribution,Woman,"College Degree",95000.00
Distribution,Woman,"Master'S Degree",128000.00
Distribution,Woman,"Some College",101000.00
"Diversity, Equity & Inclu.S.Aion ",Woman,"College Degree",140000.00
"Dod Contracting",Woman,"College Degree",93000.00
"Drug Development ",Man,"Master'S Degree",147000.00
E-Commerce,Man,"College Degree",125000.00
E-Commerce,Woman,"College Degree",81834.29
E-Commerce,Woman,"Master'S Degree",50083.33
E-Commerce,Woman,"Professional Degree (Md, Jd, Etc.)",62500.00
Eap,Woman,"College Degree",73000.00
