Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
Ceo,"21 - 30 years",999440.00
"Senior Ux Designer","11 - 20 years",998000.00
Editor,"21 - 30 years",997763.10
"Customer Success Manager","5-7 years",997068.00
"Director Of Operations","8 - 10 years",995400.00
"Senior Software Development Manager","11 - 20 years",993820.00
"Head Of Software Engineering","11 - 20 years",990000.00
"Deputy Director","11 - 20 years",987914.00
Purchaser,"11 - 20 years",986250.00
"Library Director","11 - 20 years",982520.00
"Vp Engineering","11 - 20 years",978000.00
Counsel,"21 - 30 years",970000.00
Operations,"11 - 20 years",968750.00
"Senior Associate","11 - 20 years",965020.00
"Software Developer","21 - 30 years",962287.50
"Business Systems Analyst Iii","11 - 20 years",958000.00
"Project Manager ","8 - 10 years",956049.00
"Senior Project Manager","8 - 10 years",954680.00
"Senior Data Scientist","8 - 10 years",950000.00
"Director, Software Development","11 - 20 years",950000.00
"Engagement Manager","5-7 years",947900.00
"Senior Engineer","21 - 30 years",946875.00
Manager,"2 - 4 years",946360.00
"Senior Product Designer","8 - 10 years",942000.00
"Program Coordinator","5-7 years",941512.00
"Business Systems Analyst","11 - 20 years",940434.00
Analyst,"8 - 10 years",940410.00
"Development Manager","21 - 30 years",940000.00
"Assistant Director","8 - 10 years",939575.00
"Software Development Manager","21 - 30 years",937350.00
"Product Designer","11 - 20 years",928335.00
"Assistant Director ","11 - 20 years",927936.00
"Sr Software Engineer","11 - 20 years",922500.00
"Senior Counsel","21 - 30 years",921000.00
Rn,"11 - 20 years",920430.00
"Executive Assistant","31 - 40 years",918818.10
"Chief Operating Officer","11 - 20 years",916500.00
"Tax Manager","11 - 20 years",914900.00
"Instructional Designer","11 - 20 years",908671.00
"Technical Program Manager","11 - 20 years",906608.00
"Product Owner","8 - 10 years",905195.00
"Senior Engineering Manager","8 - 10 years",904820.00
"Project Engineer","5-7 years",904150.00
"Senior Solutions Architect","11 - 20 years",904000.00
"Accounting Manager","8 - 10 years",900550.00
"Chief X Officer","21 - 30 years",900000.00
"Associate Director","21 - 30 years",898700.00
"Vice President","21 - 30 years",898400.00
"Staff Software Engineer","8 - 10 years",897500.00
"Associate Professor","8 - 10 years",896283.00
"Senior Scientist","11 - 20 years",895700.00
"Marketing Director","8 - 10 years",892390.00
"Director Of Hr","11 - 20 years",891909.00
Consultant,"2 - 4 years",891018.00
"Communications Manager","5-7 years",890000.00
"Senior Developer","21 - 30 years",884006.00
Analyst,"1 year or less",882941.00
"Senior Accountant","11 - 20 years",880221.50
"Senior Devops Engineer","11 - 20 years",873600.00
"Site Reliability Engineer","21 - 30 years",872200.00
"Program Coordinator","11 - 20 years",866002.00
"Art Director","11 - 20 years",865804.00
"Office Manager","8 - 10 years",864502.40
"Development Manager","11 - 20 years",863698.00
"Research Scientist","11 - 20 years",862000.00
"Site Reliability Engineer","5-7 years",859283.50
"Research Scientist","2 - 4 years",858603.00
"Research Associate","2 - 4 years",857839.00
"Team Lead","8 - 10 years",856104.80
"Business Analyst","21 - 30 years",853610.00
"Senior Director","31 - 40 years",853000.00
"Senior Advisor","21 - 30 years",852000.00
"Customer Success Manager","8 - 10 years",851398.00
"Branch Manager","11 - 20 years",848607.00
"Principal Consultant","11 - 20 years",841000.00
Manager,"31 - 40 years",840800.00
"Systems Architect","21 - 30 years",840000.00
"Senior Software Engineering Manager","11 - 20 years",840000.00
"Director Of Technology","11 - 20 years",835000.00
"Strategic Manager Of Communications","11 - 20 years",835000.00
"Account Executive ","11 - 20 years",834957.00
"Senior Engineering Manager","21 - 30 years",834000.00
Supervisor,"11 - 20 years",833310.00
"Research Analyst","21 - 30 years",833000.00
"Nurse Practitioner ","11 - 20 years",828800.00
"Principal Engineer","21 - 30 years",828598.00
"Materials Engineer","2 - 4 years",827000.00
Scientist,"2 - 4 years",826850.00
"Product Marketing Manager","5-7 years",822975.00
"Senior Consultant","2 - 4 years",820693.00
"Staff Security Engineer","21 - 30 years",816000.00
"Registered Nurse","21 - 30 years",815730.00
"Technical Lead","11 - 20 years",815500.00
"Vp Of Engineering","11 - 20 years",815000.00
"Solution Architect","11 - 20 years",813966.00
"Director Of Development","8 - 10 years",811000.00
"Policy Analyst","11 - 20 years",810352.20
Scientist,"8 - 10 years",807804.00
"Hr Manager","5-7 years",806534.00
"Hr Business Partner","11 - 20 years",805312.00
"Administrative Assistant","8 - 10 years",802824.40
"Associate Professor","21 - 30 years",801579.00
"Medical Librarian","31 - 40 years",800000.00
"Director Of Front Office ","11 - 20 years",800000.00
"Hr Director","21 - 30 years",798800.00
"Senior Software Developer","21 - 30 years",797424.30
Paralegal,"8 - 10 years",789378.00
"Finance Manager","8 - 10 years",786206.00
"Executive Director","8 - 10 years",786131.00
"Office Manager","5-7 years",786045.00
"Project Coordinator","5-7 years",784920.10
